misc,input,animations,measure,draw,sync,gpu,timestamp
0.948708,0.004846,1.935231,0.251616,1.196653,1.553731,12.505846,136447353872196
0.526384,0.004654,1.932231,0.241231,8.715961,1.4735,12.719846,136447387035443
0.713218,0.003769,1.512346,0.213808,0.885769,1.667885,11.612231,136447420187417
0.674814,0.003539,1.518807,0.208385,0.820885,1.585923,10.695654,136447436767513
0.646275,0.003269,1.823308,0.189423,1.122423,1.474808,13.603692,136447469870629
0.697948,0.003692,1.612808,0.207692,0.823193,1.495423,13.693884,136447502979764
0.66845,0.003769,1.606539,0.197692,1.106731,1.564731,12.634115,136447536090531
0.720831,0.032038,1.499154,0.192615,1.15777,1.491807,12.263269,136447569200612
0.928344,0.003962,1.590462,0.221346,0.86823,1.614193,12.913384,136447602319252
0.9418,0.003769,1.641154,0.218116,1.792384,1.788808,11.384346,136447618860527
0.677791,0.003884,1.448616,0.211154,0.812153,1.605424,11.766461,136447652000421
0.712087,0.003539,1.6085,0.250038,1.113077,1.529231,12.622654,136447685100240
1.101835,0.003961,1.977847,0.224,1.170269,1.718538,12.962808,136447718247800
0.864887,0.003846,1.557654,0.232731,1.096423,1.87223,13.747154,136447751437171
0.521002,0.003615,1.734769,0.237385,1.120731,1.642807,13.151731,136447784589864
0.428803,0.003269,1.812231,0.235693,1.602115,1.566461,11.155693,136447801160870
0.780748,0.004116,1.924192,0.253269,1.022616,1.512846,10.535269,136447817716694
0.410538,0.003615,1.719039,0.214385,0.980423,1.548115,11.266461,136447834286789
0.41773,0.003538,1.839385,0.218269,0.838116,1.531807,11.392846,136447850872251
0.770617,0.00377,1.805423,0.270038,1.196923,1.623,13.256077,136447884005402
0.90519,0.003461,1.449808,0.196115,1.098885,1.661077,10.320884,136447900575522
0.689155,0.003692,1.504847,0.2515,1.122961,1.479077,11.670692,136447933721018
0.866421,0.004,1.649462,0.25273,0.940462,1.864654,13.148269,136447966919252
0.699932,0.003962,1.687884,0.187,1.061231,1.559808,13.021307,136448000050741
0.754877,0.004077,1.592962,0.183423,0.887231,1.652038,12.622154,136448033212911
0.826452,0.004577,1.770154,0.257423,0.934538,1.550346,12.774077,136448066399875
0.690132,0.004,2.229077,0.288461,0.963231,1.682808,11.148923,136448082975618
0.652792,0.003962,1.782654,0.253538,0.8525,1.633615,10.952885,136448116160227
0.731751,0.003692,1.743577,0.278962,0.989153,1.723654,13.825077,136448149285076
1.00783,0.003807,1.70827,0.199961,0.848923,1.512654,13.406577,136448182409497
0.746077,0.010961,1.611462,0.189846,1.024808,1.581231,13.228384,136448215530096
0.542848,0.003885,1.579654,0.202269,1.037769,1.520731,13.722192,136448248711786
0.552989,0.003769,1.873192,0.223039,0.938192,1.521731,11.030269,136448265286338
0.718513,0.003769,1.499116,0.192346,1.086846,1.491692,11.932616,136448298463583
21.822755,0.0035,1.834962,0.179577,1.808,1.587115,10.031539,136448315089802
0.644108,3.466347,1.223307,0.169808,0.957038,1.758346,12.088616,136448381298026
0.542677,0.005692,1.682616,0.185038,0.878923,1.468577,9.833885,136448414446842
0.928346,0.004231,1.538615,0.227885,0.96523,1.743039,11.009115,136448431021250
0.543583,0.005308,1.434423,0.174616,0.7555,1.397077,10.663423,136448464136897
0.458391,0.0045,1.545577,0.211461,1.447539,1.781654,11.093654,136448497215051
0.683437,0.005731,8.095038,0.174731,1.114231,1.8455,12.281115,136448530354851
8.636576,0.003808,21.567961,8.629423,17.44027,2.619807,13.288923,136448546912635
43.121715,0.00427,2.357154,0.202384,11.625116,2.124038,13.219423,136448563482111
19.731077,0.004269,3.291692,0.2325,4.134039,2.044307,74.173769,136448613170096
8.636576,0.003808,21.567961,8.629423,17.44027,2.619807,13.288923,136448546912635
43.121715,0.00427,2.357154,0.202384,11.625116,2.124038,13.219423,136448563482111
19.731077,0.004269,3.291692,0.2325,4.134039,2.044307,74.173769,136448613170096
1.497146,0.004385,1.715307,0.234347,84.455,1.587346,27.350077,136448646280988
72.92091,0.003269,3.970385,0.214423,24.507423,1.687154,11.226423,136448662847532
20.611263,0.003885,6.259384,0.222769,5.898231,1.891462,38.704961,136448745741448
1.95963,0.004461,7.287616,0.206077,32.820461,1.858193,3.093576,136448778880158
28.882506,0.004807,1.481231,0.2155,1.320962,3.033884,5.897539,136448795449513
2.050416,0.002923,7.297231,0.190461,0.466193,0.271846,14.296423,136448828578718
0.0,0.0,0.0,0.0,9.773887,0.299308,14.053077,136448845147324
0.0,0.0,0.0,0.0,8.810277,0.250692,15.215462,136448861728165
0.0,0.0,0.0,0.0,9.038044,0.29273,15.017654,136448878296475
0.0,0.0,0.0,0.0,9.282602,0.395961,15.262808,136448894886994
0.0,0.0,0.0,0.0,10.089605,0.359884,14.267962,136448911493337
0.0,0.0,0.0,0.0,9.864018,0.422577,13.845346,136448928096808
0.0,0.0,0.0,0.0,9.680906,0.569769,14.467577,136448944686497
0.0,0.0,0.0,0.0,10.162488,0.474038,13.502692,136448961255531
0.0,0.0,0.0,0.0,8.924101,0.263807,14.757462,136448977851764
0.0,0.0,0.0,0.0,8.658015,0.246269,15.121615,136448994427427
0.0,0.0,0.0,0.0,8.712958,0.267077,16.125,136449011002945
0.0,0.0,0.0,0.0,9.951667,0.313423,14.500539,136449027572505
0.0,0.0,0.0,0.0,9.4081,0.270962,15.857731,136449044149418
0.0,0.0,0.0,0.0,10.368784,0.395385,13.224269,136449060759734
0.0,0.0,0.0,0.0,8.730262,0.265423,15.004,136449077334564
0.0,0.0,0.0,0.0,8.657139,0.244923,15.536461,136449093911649
0.0,0.0,0.0,0.0,9.111806,0.264808,14.6305,136449110478097
0.0,0.0,0.0,0.0,8.687278,0.243462,15.16623,136449127044702
0.0,0.0,0.0,0.0,9.075138,0.288115,15.316192,136449143617227
0.0,0.0,0.0,0.0,9.382124,0.282885,14.645231,136449160180125
0.0,0.0,0.0,0.0,9.240666,0.304462,14.448538,136449176734929
0.0,0.0,0.0,0.0,8.696711,0.260616,14.885269,136449193312961
0.0,0.0,0.0,0.0,8.497222,0.248653,15.698077,136449209886643
0.0,0.0,0.0,0.0,9.464169,0.389615,14.126577,136449226458734
23.392092,0.0165,2.672962,11.211769,0.748615,0.302,3.078154,136449226458734
0.0,0.0,0.0,0.0,4.649554,0.272577,3.20423,136449276149003
0.0,0.0,0.0,0.0,4.933139,0.366654,4.075885,136449292702456
0.0,0.0,0.0,0.0,4.811028,0.279038,4.022192,136449309273106
9.712528,0.004461,8.269154,11.861192,0.679308,0.418231,4.308884,136449309273106
0.0,0.0,0.0,0.0,4.730343,0.762692,4.987192,136449358967637
0.0,0.0,0.0,0.0,4.915852,0.334077,3.052077,136449375535089
0.0,0.0,0.0,0.0,4.812728,0.311846,3.650808,136449392138829
0.0,0.0,0.0,0.0,4.878455,0.285308,3.523231,136449408715332
0.0,0.0,0.0,0.0,4.762068,0.293692,3.811731,136449425284527
14.515201,0.004615,100.949,0.730731,18.3715,3.373231,16.575423,136449325842779
128.93642,0.008153,18.289193,0.202192,2.253731,0.696038,5.780885,136449358967637
81.65999,0.00423,1.906231,0.205385,8.772154,3.723654,8.413615,136449491573413
8.811762,0.003846,12.493385,0.202807,1.034193,0.639077,4.531192,136449591013833
14.799345,0.003577,41.446769,0.172385,3.662192,3.076923,12.971154,136449673882865
44.581058,0.004384,6.162962,8.364769,1.472308,0.751269,6.973385,136449707027845
46.164703,0.004038,1.4875,9.084923,2.238924,1.12,7.4055,136449756745315
25.139109,0.003885,10.530461,0.23327,6.78,1.095,6.290692,136449806499601
11.151969,0.004693,1.752038,0.179308,5.328038,1.007423,6.76,136449839647587
2.918815,0.003654,8.456038,0.185538,0.850231,0.663077,12.335308,136449856201434
0.509363,0.004193,3.213154,0.194384,6.210769,0.968847,15.618923,136449872774693
0.581938,0.004116,7.057846,0.191885,3.6295,0.700038,13.562731,136449889356041
0.489777,0.003731,2.007538,0.195154,7.943077,0.851231,15.186038,136449905929587
