Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted
0,136442133158671,136442133158671,9223372036854775807,0,136442133886985,136442133891331,136442142602331,136442142879254,136442144782370,136442146623754,136442149569177,136442161559216,136442162843100,292692,650384,136442174303793
0,136442149733229,136442149733229,9223372036854775807,0,136442150235446,136442150239600,136442160877946,136442161158485,136442162719370,136442164214177,136442165895985,136442176449485,136442177888331,263654,781461,136442189027831
0,136442166236081,136442166236081,9223372036854775807,0,136442171365370,136442171370485,136442177286293,136442177787600,136442180908946,136442181736254,136442183452293,136442193621908,136442194845985,279769,623807,136442206299177
0,136442182793688,136442182793688,9223372036854775807,0,136442183609254,136442183613677,136442193559331,136442193867639,136442196324408,136442197367370,136442199401370,136442211368639,136442213001331,507615,908461,136442224081677
0,136442199367407,136442199367407,9223372036854775807,0,136442199848408,136442199853100,136442210462716,136442210798946,136442212927946,136442214584100,136442216341254,136442230898370,136442232230831,323808,715808,136442243545254
0,136442215932520,136442215932520,9223372036854775807,0,136442216683254,136442216688293,136442227744600,136442228279946,136442230308293,136442233495254,136442235276677,136442244947754,136442246171408,307462,726692,136442257575293
0,136442232498793,136442232498793,9223372036854775807,0,136442235367716,136442235371831,136442241912331,136442242163831,136442243443677,136442247455370,136442249281177,136442261312023,136442262659023,480615,675923,136442274036793
0,136442249061867,136442249061867,9223372036854775807,0,136442249540908,136442249544754,136442258445485,136442258703177,136442259967985,136442263881639,136442265637139,136442279818946,136442281305716,900769,757500,136442292537946
0,136442265635236,136442265635236,9223372036854775807,0,136442266058408,136442266063100,136442274823946,136442275155485,136442279485485,136442282747369,136442284672985,136442301991446,136442303511369,286615,870308,136442314753869
0,136442282208358,136442282208358,9223372036854775807,0,136442286202869,136442286207254,136442291502523,136442291839600,136442293924446,136442305127062,136442307053793,136442318317562,136442320394446,332116,1449231,136442331017639
